FlightDate,Reporting_Airline,OriginAirportSeqID,OriginState,DepDelayMinutes,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
12/23/23,OO,1247805,NY,0,0,,0,,,,,
12/23/23,OO,1247805,NY,0,0,,0,,,,,
12/16/23,OO,1412202,PA,0,0,,0,,,,,
12/20/23,OO,1295304,NY,0,0,,0,,,,,
12/26/23,OO,1295304,NY,0,0,,0,,,,,
12/27/23,OO,1471105,PA,0,0,,0,,,,,
12/17/23,OO,1079206,NY,0,0,,0,,,,,
12/31/23,OO,1471105,PA,0,0,,0,,,,,
12/28/23,OO,1457607,NY,0,0,,0,,,,,
12/22/23,OO,1412202,PA,0,0,,0,,,,,
12/22/23,OO,1247805,NY,0,0,,0,,,,,
12/22/23,OO,1457607,NY,0,0,,0,,,,,
12/23/23,OO,1079206,NY,0,0,,0,,,,,
12/23/23,OO,1412202,PA,0,0,,0,,,,,
12/23/23,OO,1247805,NY,0,0,,0,,,,,
12/29/23,OO,1412202,PA,0,0,,0,,,,,
12/14/23,OO,1072102,MA,0,0,,0,,,,,
12/10/23,OO,1412202,PA,0,0,,0,,,,,
12/8/23,OO,1412202,PA,0,0,,0,,,,,
12/8/23,OO,1247805,NY,0,0,,0,,,,,
12/14/23,OO,1247805,NY,0,0,,0,,,,,
12/14/23,OO,1247805,NY,0,0,,0,,,,,
12/15/23,OO,1079206,NY,0,0,,0,,,,,
12/15/23,OO,1247805,NY,0,0,,0,,,,,
12/11/23,OO,1219702,NY,0,0,,0,,,,,
12/4/23,OO,1509602,NY,0,0,,0,,,,,
12/11/23,OO,1471105,PA,0,0,,0,,,,,
12/3/23,OO,1432105,ME,0,0,,0,,,,,
12/7/23,OO,1471105,PA,0,0,,0,,,,,
12/3/23,OO,1323002,PA,0,0,,0,,,,,
12/7/23,OO,1412202,PA,0,0,,0,,,,,
12/8/23,OO,1219702,NY,0,0,,0,,,,,
12/9/23,OO,1432105,ME,0,0,,0,,,,,
12/2/23,OO,1247805,NY,0,0,,0,,,,,
12/2/23,OO,1247805,NY,0,0,,0,,,,,
12/13/23,OO,1295304,NY,0,0,,0,,,,,
12/6/23,OO,1072102,MA,0,0,,0,,,,,
