FlightDate,Reporting_Airline,OriginAirportSeqID,OriginState,DepDelayMinutes,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay
2/4/23,9E,1295304,NY,0,0,,0,,
2/11/23,9E,1295304,NY,0,0,,0,,
2/18/23,9E,1295304,NY,0,0,,0,,
2/25/23,9E,1295304,NY,0,0,,0,,
2/1/23,9E,1295304,NY,27,0,,0,21,0
2/2/23,9E,1295304,NY,0,0,,0,,
2/3/23,9E,1295304,NY,656,0,,0,0,0
2/5/23,9E,1295304,NY,0,0,,0,,
2/6/23,9E,1295304,NY,0,0,,0,,
2/7/23,9E,1295304,NY,0,0,,0,,
2/8/23,9E,1295304,NY,0,0,,0,,
2/9/23,9E,1295304,NY,0,0,,0,,
2/10/23,9E,1295304,NY,0,0,,0,,
2/12/23,9E,1295304,NY,21,0,,0,21,0
2/13/23,9E,1295304,NY,0,0,,0,,
2/14/23,9E,1295304,NY,0,0,,0,,
2/15/23,9E,1295304,NY,0,0,,0,,
2/16/23,9E,1295304,NY,0,0,,0,,
2/17/23,9E,1295304,NY,136,0,,0,0,0
2/19/23,9E,1295304,NY,0,0,,0,,
2/20/23,9E,1295304,NY,0,0,,0,,
2/21/23,9E,1295304,NY,22,0,,0,,
2/22/23,9E,1295304,NY,,1,B,0,,
2/23/23,9E,1295304,NY,0,0,,0,,
2/24/23,9E,1295304,NY,75,0,,0,0,0
2/26/23,9E,1295304,NY,0,0,,0,,
2/27/23,9E,1295304,NY,,1,B,0,,
2/28/23,9E,1295304,NY,41,0,,0,15,0
2/11/23,9E,1295304,NY,0,0,,0,,
2/18/23,9E,1295304,NY,0,0,,0,,
2/25/23,9E,1295304,NY,0,0,,0,,
2/1/23,9E,1247805,NY,0,0,,0,,
2/2/23,9E,1247805,NY,0,0,,0,,
2/3/23,9E,1247805,NY,0,0,,0,,
2/4/23,9E,1247805,NY,0,0,,0,,
2/5/23,9E,1247805,NY,0,0,,0,0,0
2/6/23,9E,1247805,NY,0,0,,0,,
