FlightDate,Reporting_Airline,OriginAirportSeqID,OriginState,DepDelayMinutes,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1/2/23,9E,1052907,CT,0,0,,0,,,,,
1/3/23,9E,1052907,CT,0,0,,0,,,,,
1/4/23,9E,1052907,CT,0,0,,0,,,,,
1/5/23,9E,1052907,CT,0,0,,0,,,,,
1/6/23,9E,1052907,CT,0,0,,0,,,,,
1/7/23,9E,1052907,CT,0,0,,0,,,,,
1/14/23,9E,1295304,NY,0,0,,0,,,,,
1/21/23,9E,1295304,NY,0,0,,0,,,,,
1/28/23,9E,1295304,NY,0,0,,0,,,,,
1/9/23,9E,1295304,NY,0,0,,0,,,,,
1/10/23,9E,1295304,NY,0,0,,0,,,,,
1/11/23,9E,1295304,NY,35,0,,0,0,0,26,0,35
1/12/23,9E,1295304,NY,132,0,,0,50,0,0,0,82
1/13/23,9E,1295304,NY,0,0,,0,0,0,34,0,0
1/15/23,9E,1295304,NY,5,0,,0,,,,,
1/16/23,9E,1295304,NY,0,0,,0,,,,,
1/17/23,9E,1295304,NY,15,0,,0,0,0,40,0,0
1/18/23,9E,1295304,NY,0,0,,0,,,,,
1/19/23,9E,1295304,NY,676,0,,0,0,667,0,0,6
1/20/23,9E,1295304,NY,0,0,,0,0,0,36,0,0
1/22/23,9E,1295304,NY,29,0,,0,29,0,18,0,0
1/23/23,9E,1295304,NY,27,0,,0,0,0,0,0,22
1/24/23,9E,1295304,NY,0,0,,0,,,,,
1/25/23,9E,1295304,NY,50,0,,0,25,0,11,0,25
1/26/23,9E,1295304,NY,0,0,,0,,,,,
1/27/23,9E,1295304,NY,0,0,,0,,,,,
1/29/23,9E,1295304,NY,0,0,,0,,,,,
1/30/23,9E,1295304,NY,0,0,,0,,,,,
1/31/23,9E,1295304,NY,16,0,,0,,,,,
1/8/23,9E,1247805,NY,0,0,,0,,,,,
1/9/23,9E,1247805,NY,0,0,,0,,,,,
1/10/23,9E,1247805,NY,0,0,,0,,,,,
1/11/23,9E,1247805,NY,0,0,,0,,,,,
1/12/23,9E,1247805,NY,86,0,,0,0,0,63,0,86
1/13/23,9E,1247805,NY,42,0,,0,0,0,10,0,42
1/14/23,9E,1247805,NY,21,0,,0,,,,,
1/15/23,9E,1247805,NY,110,0,,0,57,0,22,0,53
1/16/23,9E,1247805,NY,0,0,,0,,,,,
1/17/23,9E,1247805,NY,0,0,,0,,,,,
1/18/23,9E,1247805,NY,0,0,,0,,,,,
1/19/23,9E,1247805,NY,39,0,,0,16,0,32,0,23
1/20/23,9E,1247805,NY,56,0,,0,0,0,0,0,51
1/21/23,9E,1247805,NY,26,0,,0,10,0,0,0,9
1/22/23,9E,1247805,NY,108,0,,0,0,0,65,0,44
1/23/23,9E,1247805,NY,0,0,,0,,,,,
1/24/23,9E,1247805,NY,0,0,,0,,,,,
1/25/23,9E,1247805,NY,,1,C,0,,,,,
1/26/23,9E,1247805,NY,16,0,,0,0,0,15,0,16
1/27/23,9E,1247805,NY,0,0,,0,,,,,
1/28/23,9E,1247805,NY,0,0,,0,,,,,
1/29/23,9E,1247805,NY,0,0,,0,,,,,
1/30/23,9E,1247805,NY,0,0,,0,,,,,
1/31/23,9E,1247805,NY,5,0,,0,,,,,
1/2/23,9E,1412202,PA,0,0,,0,,,,,
1/3/23,9E,1412202,PA,,1,B,0,,,,,
1/4/23,9E,1412202,PA,10,0,,0,,,,,
1/5/23,9E,1412202,PA,0,0,,0,,,,,
1/6/23,9E,1412202,PA,0,0,,0,,,,,
1/7/23,9E,1412202,PA,0,0,,0,,,,,
1/8/23,9E,1412202,PA,0,0,,0,,,,,
1/9/23,9E,1247805,NY,0,0,,0,,,,,
1/10/23,9E,1247805,NY,0,0,,0,,,,,
1/11/23,9E,1247805,NY,,1,C,0,,,,,
1/12/23,9E,1247805,NY,10,0,,0,,,,,
1/13/23,9E,1247805,NY,20,0,,0,2,0,1,0,18
1/14/23,9E,1247805,NY,0,0,,0,,,,,
1/15/23,9E,1247805,NY,0,0,,0,,,,,
1/16/23,9E,1247805,NY,0,0,,0,,,,,
1/17/23,9E,1247805,NY,0,0,,0,,,,,
1/18/23,9E,1247805,NY,0,0,,0,,,,,
1/19/23,9E,1247805,NY,0,0,,0,,,,,
1/20/23,9E,1247805,NY,79,0,,0,0,0,0,0,74
1/21/23,9E,1247805,NY,0,0,,0,,,,,
1/22/23,9E,1247805,NY,27,0,,0,,,,,
1/23/23,9E,1247805,NY,0,0,,0,,,,,
1/24/23,9E,1247805,NY,19,0,,0,,,,,
1/25/23,9E,1247805,NY,0,0,,0,,,,,
1/26/23,9E,1247805,NY,0,0,,0,,,,,
1/27/23,9E,1247805,NY,40,0,,0,16,0,0,0,11
1/28/23,9E,1247805,NY,0,0,,0,,,,,
1/29/23,9E,1247805,NY,0,0,,0,0,0,23,0,0
1/30/23,9E,1247805,NY,0,0,,0,,,,,
1/31/23,9E,1247805,NY,23,0,,0,,,,,
1/9/23,9E,1295304,NY,0,0,,0,,,,,
1/10/23,9E,1295304,NY,0,0,,0,,,,,
1/11/23,9E,1295304,NY,70,0,,0,17,0,0,0,34
1/12/23,9E,1295304,NY,53,0,,0,53,0,3,0,0
1/13/23,9E,1295304,NY,0,0,,0,,,,,
1/15/23,9E,1295304,NY,0,0,,0,,,,,
1/16/23,9E,1295304,NY,99,0,,0,62,0,0,0,27
1/17/23,9E,1295304,NY,26,0,,0,15,0,0,0,0
1/18/23,9E,1295304,NY,0,0,,0,,,,,
1/19/23,9E,1295304,NY,0,0,,0,,,,,
1/20/23,9E,1295304,NY,0,0,,0,,,,,
1/23/23,9E,1295304,NY,,1,C,0,,,,,
1/24/23,9E,1295304,NY,0,0,,0,,,,,
1/25/23,9E,1295304,NY,41,0,,0,0,0,39,0,41
1/26/23,9E,1295304,NY,0,0,,0,,,,,
1/27/23,9E,1295304,NY,0,0,,0,,,,,
1/30/23,9E,1295304,NY,21,0,,0,,,,,
1/31/23,9E,1295304,NY,96,0,,0,59,0,0,0,34
1/9/23,9E,1058102,ME,0,0,,0,,,,,
1/10/23,9E,1058102,ME,0,0,,0,,,,,
1/11/23,9E,1058102,ME,0,0,,0,,,,,
1/12/23,9E,1058102,ME,1,0,,0,,,,,
1/13/23,9E,1058102,ME,0,0,,0,,,,,
1/14/23,9E,1058102,ME,0,0,,0,,,,,
1/16/23,9E,1058102,ME,,1,B,0,,,,,
