FlightDate,Reporting_Airline,OriginAirportSeqID,OriginState,DepDelayMinutes,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
7/2/23,9E,1247805,NY,0,0,,0,,,,,
7/3/23,9E,1247805,NY,67,0,,0,56,0,0,0,0
7/4/23,9E,1247805,NY,12,0,,0,0,0,26,0,12
7/5/23,9E,1247805,NY,11,0,,0,,,,,
7/6/23,9E,1247805,NY,1,0,,0,,,,,
7/7/23,9E,1247805,NY,,1,C,0,,,,,
7/9/23,9E,1247805,NY,,1,B,0,,,,,
7/10/23,9E,1247805,NY,30,0,,0,,,,,
7/11/23,9E,1247805,NY,0,0,,0,,,,,
7/12/23,9E,1247805,NY,11,0,,0,,,,,
7/13/23,9E,1247805,NY,0,0,,0,,,,,
7/14/23,9E,1247805,NY,122,0,,0,0,0,14,0,122
7/16/23,9E,1247805,NY,133,0,,0,115,0,0,0,14
7/17/23,9E,1247805,NY,35,0,,0,19,0,0,0,0
7/18/23,9E,1247805,NY,,1,C,0,,,,,
7/19/23,9E,1247805,NY,8,0,,0,0,0,35,0,6
7/20/23,9E,1247805,NY,26,0,,0,,,,,
7/21/23,9E,1247805,NY,73,0,,0,0,0,0,0,31
7/23/23,9E,1247805,NY,0,0,,0,,,,,
7/24/23,9E,1247805,NY,17,0,,0,,,,,
7/25/23,9E,1247805,NY,202,0,,0,0,0,189,0,0
7/26/23,9E,1247805,NY,41,0,,0,,,,,
7/27/23,9E,1247805,NY,,1,C,0,,,,,
7/28/23,9E,1247805,NY,0,0,,0,,,,,
7/30/23,9E,1247805,NY,22,0,,0,,,,,
7/31/23,9E,1247805,NY,2,0,,0,,,,,
7/1/23,9E,1509602,NY,0,0,,0,,,,,
7/2/23,9E,1509602,NY,0,0,,0,,,,,
7/3/23,9E,1509602,NY,228,0,,0,222,0,0,0,0
7/4/23,9E,1509602,NY,0,0,,0,,,,,
7/5/23,9E,1509602,NY,0,0,,0,,,,,
7/6/23,9E,1509602,NY,0,0,,0,,,,,
7/7/23,9E,1509602,NY,0,0,,0,,,,,
7/8/23,9E,1509602,NY,86,0,,0,75,0,0,0,0
7/9/23,9E,1509602,NY,0,0,,0,,,,,
7/10/23,9E,1509602,NY,16,0,,0,,,,,
7/11/23,9E,1509602,NY,0,0,,0,,,,,
