FlightDate,Reporting_Airline,OriginAirportSeqID,OriginState,DepDelayMinutes,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
6/1/23,9E,1457607,NY,0,0,,0,,,,,
6/2/23,9E,1457607,NY,0,0,,0,,,,,
6/1/23,9E,1239703,NY,0,0,,0,,,,,
6/2/23,9E,1239703,NY,0,0,,0,,,,,
6/3/23,9E,1239703,NY,0,0,,0,,,,,
6/4/23,9E,1239703,NY,0,0,,0,,,,,
6/1/23,9E,1247805,NY,0,0,,0,,,,,
6/2/23,9E,1247805,NY,0,0,,0,,,,,
6/3/23,9E,1247805,NY,0,0,,0,,,,,
6/4/23,9E,1247805,NY,0,0,,0,,,,,
6/4/23,9E,1295304,NY,0,0,,0,,,,,
6/1/23,9E,1247805,NY,20,0,,0,,,,,
6/2/23,9E,1247805,NY,0,0,,0,,,,,
6/3/23,9E,1247805,NY,0,0,,0,,,,,
6/4/23,9E,1247805,NY,0,0,,0,,,,,
6/1/23,9E,1295304,NY,0,0,,0,,,,,
6/2/23,9E,1295304,NY,0,0,,0,,,,,
6/3/23,9E,1295304,NY,0,0,,0,,,,,
6/3/23,9E,1079206,NY,0,0,,0,,,,,
6/1/23,9E,1247805,NY,0,0,,0,,,,,
6/2/23,9E,1247805,NY,2,0,,0,0,0,68,0,0
6/3/23,9E,1247805,NY,0,0,,0,,,,,
6/4/23,9E,1247805,NY,0,0,,0,,,,,
6/1/23,9E,1295304,NY,0,0,,0,,,,,
6/2/23,9E,1295304,NY,7,0,,0,,,,,
6/3/23,9E,1295304,NY,0,0,,0,,,,,
6/4/23,9E,1295304,NY,20,0,,0,,,,,
6/1/23,9E,1161802,NJ,0,0,,0,,,,,
6/2/23,9E,1161802,NJ,0,0,,0,,,,,
6/3/23,9E,1295304,NY,0,0,,0,,,,,
6/1/23,9E,1295304,NY,0,0,,0,,,,,
6/2/23,9E,1295304,NY,0,0,,0,,,,,
6/1/23,9E,1295304,NY,0,0,,0,,,,,
6/2/23,9E,1295304,NY,131,0,,0,37,0,18,0,64
6/3/23,9E,1295304,NY,0,0,,0,,,,,
6/1/23,9E,1295304,NY,0,0,,0,,,,,
6/2/23,9E,1295304,NY,,1,B,0,,,,,
6/1/23,9E,1247805,NY,0,0,,0,,,,,
6/2/23,9E,1247805,NY,,1,B,0,,,,,
6/3/23,9E,1247805,NY,104,0,,0,83,0,0,0,0
6/4/23,9E,1247805,NY,0,0,,0,,,,,
6/1/23,9E,1295304,NY,0,0,,0,,,,,
6/2/23,9E,1295304,NY,20,0,,1,,,,,
6/4/23,9E,1295304,NY,0,0,,0,,,,,
6/1/23,9E,1295304,NY,0,0,,0,,,,,
6/2/23,9E,1295304,NY,0,0,,0,,,,,
6/3/23,9E,1295304,NY,6,0,,0,,,,,
6/1/23,9E,1295304,NY,8,0,,0,,,,,
6/2/23,9E,1295304,NY,0,0,,0,,,,,
6/3/23,9E,1295304,NY,0,0,,0,,,,,
