FlightDate,Reporting_Airline,OriginAirportSeqID,OriginState,DepDelayMinutes,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
3/1/23,OH,1219702,NY,0,0,,0,,,,,
3/2/23,OH,1219702,NY,0,0,,0,,,,,
3/3/23,OH,1219702,NY,0,0,,0,,,,,
3/5/23,OH,1219702,NY,30,0,,0,3,0,0,0,16
3/6/23,OH,1219702,NY,0,0,,0,,,,,
3/7/23,OH,1219702,NY,0,0,,0,,,,,
3/8/23,OH,1219702,NY,0,0,,0,,,,,
3/9/23,OH,1219702,NY,0,0,,0,,,,,
3/10/23,OH,1219702,NY,0,0,,0,,,,,
3/12/23,OH,1219702,NY,0,0,,0,,,,,
3/13/23,OH,1219702,NY,0,0,,0,,,,,
3/14/23,OH,1219702,NY,,1,B,0,,,,,
3/15/23,OH,1219702,NY,0,0,,0,,,,,
3/16/23,OH,1219702,NY,0,0,,0,,,,,
3/17/23,OH,1219702,NY,0,0,,0,,,,,
3/19/23,OH,1219702,NY,0,0,,0,,,,,
3/20/23,OH,1219702,NY,0,0,,0,,,,,
3/21/23,OH,1219702,NY,0,0,,0,,,,,
3/22/23,OH,1219702,NY,0,0,,0,,,,,
3/23/23,OH,1219702,NY,0,0,,0,,,,,
3/24/23,OH,1219702,NY,0,0,,0,,,,,
3/26/23,OH,1219702,NY,0,0,,0,,,,,
3/27/23,OH,1219702,NY,0,0,,0,,,,,
3/28/23,OH,1219702,NY,0,0,,0,,,,,
3/29/23,OH,1219702,NY,0,0,,0,,,,,
3/30/23,OH,1219702,NY,0,0,,0,,,,,
3/31/23,OH,1219702,NY,0,0,,0,,,,,
3/1/23,OH,1079206,NY,0,0,,0,,,,,
3/2/23,OH,1079206,NY,0,0,,0,,,,,
3/3/23,OH,1079206,NY,0,0,,0,,,,,
3/5/23,OH,1079206,NY,2,0,,0,,,,,
3/6/23,OH,1079206,NY,0,0,,0,,,,,
3/7/23,OH,1079206,NY,2,0,,0,,,,,
3/8/23,OH,1079206,NY,0,0,,0,,,,,
3/9/23,OH,1079206,NY,0,0,,0,,,,,
3/10/23,OH,1079206,NY,0,0,,0,,,,,
3/12/23,OH,1079206,NY,0,0,,0,,,,,
3/13/23,OH,1079206,NY,31,0,,0,0,0,0,0,29
3/14/23,OH,1079206,NY,0,0,,0,,,,,
3/15/23,OH,1079206,NY,22,0,,0,,,,,
3/16/23,OH,1079206,NY,0,0,,0,,,,,
3/17/23,OH,1079206,NY,77,0,,0,30,0,0,0,42
3/19/23,OH,1079206,NY,0,0,,0,,,,,
3/20/23,OH,1079206,NY,0,0,,0,,,,,
3/21/23,OH,1079206,NY,0,0,,0,,,,,
3/22/23,OH,1079206,NY,0,0,,0,,,,,
3/23/23,OH,1079206,NY,0,0,,0,,,,,
3/24/23,OH,1079206,NY,64,0,,0,0,0,0,0,59
3/26/23,OH,1079206,NY,0,0,,0,,,,,
3/27/23,OH,1079206,NY,0,0,,0,,,,,
3/28/23,OH,1079206,NY,0,0,,0,,,,,
3/29/23,OH,1079206,NY,0,0,,0,,,,,
3/30/23,OH,1079206,NY,0,0,,0,,,,,
3/31/23,OH,1079206,NY,23,0,,0,0,0,0,0,15
3/1/23,OH,1025702,NY,0,0,,0,0,0,33,0,0
3/2/23,OH,1025702,NY,0,0,,0,,,,,
3/3/23,OH,1025702,NY,33,0,,0,1,0,0,0,29
3/6/23,OH,1025702,NY,0,0,,0,0,0,19,0,0
3/7/23,OH,1025702,NY,0,0,,0,,,,,
3/8/23,OH,1025702,NY,0,0,,0,,,,,
3/9/23,OH,1025702,NY,0,0,,0,,,,,
3/10/23,OH,1025702,NY,43,0,,0,0,0,25,0,43
3/13/23,OH,1025702,NY,6,0,,0,6,0,33,0,0
3/14/23,OH,1025702,NY,,1,B,0,,,,,
3/15/23,OH,1025702,NY,19,0,,0,0,0,0,0,17
3/16/23,OH,1025702,NY,0,0,,0,,,,,
3/17/23,OH,1025702,NY,0,0,,0,,,,,
3/20/23,OH,1025702,NY,0,0,,0,,,,,
3/21/23,OH,1025702,NY,0,0,,0,,,,,
3/22/23,OH,1025702,NY,0,0,,0,,,,,
3/23/23,OH,1025702,NY,0,0,,0,,,,,
3/24/23,OH,1025702,NY,0,0,,0,0,0,27,0,0
3/27/23,OH,1025702,NY,8,0,,0,0,0,33,0,8
3/28/23,OH,1025702,NY,0,0,,0,0,0,17,0,0
3/29/23,OH,1025702,NY,0,0,,0,,,,,
3/30/23,OH,1025702,NY,3,0,,0,,,,,
3/31/23,OH,1025702,NY,43,0,,0,0,0,0,0,29
3/1/23,OH,1025702,NY,0,0,,0,,,,,
3/2/23,OH,1025702,NY,0,0,,0,0,0,20,0,0
3/3/23,OH,1025702,NY,14,0,,0,,,,,
3/4/23,OH,1025702,NY,0,0,,0,,,,,
3/5/23,OH,1025702,NY,53,0,,0,42,0,0,0,0
3/6/23,OH,1025702,NY,0,0,,0,0,0,22,0,0
3/7/23,OH,1025702,NY,24,0,,0,14,0,0,0,4
3/8/23,OH,1025702,NY,0,0,,0,,,,,
