FlightDate,Reporting_Airline,OriginAirportSeqID,OriginState,DepDelayMinutes,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
5/1/23,9E,1457607,NY,0,0,,0,,,,,
5/2/23,9E,1457607,NY,0,0,,0,,,,,
5/3/23,9E,1457607,NY,0,0,,0,,,,,
5/4/23,9E,1457607,NY,0,0,,0,,,,,
5/5/23,9E,1457607,NY,0,0,,0,,,,,
5/8/23,9E,1457607,NY,0,0,,0,,,,,
5/9/23,9E,1457607,NY,0,0,,0,,,,,
5/10/23,9E,1457607,NY,0,0,,0,,,,,
5/11/23,9E,1457607,NY,0,0,,0,,,,,
5/12/23,9E,1457607,NY,0,0,,0,,,,,
5/15/23,9E,1457607,NY,0,0,,0,,,,,
5/16/23,9E,1457607,NY,0,0,,0,,,,,
5/17/23,9E,1457607,NY,0,0,,0,,,,,
5/18/23,9E,1457607,NY,0,0,,0,,,,,
5/19/23,9E,1457607,NY,0,0,,0,,,,,
5/22/23,9E,1457607,NY,0,0,,0,,,,,
5/23/23,9E,1457607,NY,0,0,,0,,,,,
5/24/23,9E,1457607,NY,0,0,,0,,,,,
5/25/23,9E,1457607,NY,0,0,,0,,,,,
5/26/23,9E,1457607,NY,0,0,,0,,,,,
5/29/23,9E,1457607,NY,141,0,,0,124,0,0,0,5
5/30/23,9E,1457607,NY,0,0,,0,,,,,
5/31/23,9E,1457607,NY,0,0,,0,,,,,
5/1/23,9E,1239703,NY,45,0,,0,0,0,0,0,43
5/2/23,9E,1239703,NY,0,0,,0,,,,,
5/3/23,9E,1239703,NY,0,0,,0,,,,,
5/4/23,9E,1239703,NY,0,0,,0,,,,,
5/5/23,9E,1239703,NY,64,0,,0,0,0,14,0,64
5/6/23,9E,1239703,NY,0,0,,0,,,,,
5/7/23,9E,1239703,NY,24,0,,0,24,0,4,0,0
5/8/23,9E,1239703,NY,0,0,,0,,,,,
5/9/23,9E,1239703,NY,4,0,,0,,,,,
5/10/23,9E,1239703,NY,0,0,,0,,,,,
5/11/23,9E,1239703,NY,0,0,,0,,,,,
5/12/23,9E,1239703,NY,0,0,,0,,,,,
5/13/23,9E,1239703,NY,0,0,,0,,,,,
5/14/23,9E,1239703,NY,0,0,,0,,,,,
5/15/23,9E,1239703,NY,0,0,,0,,,,,
5/16/23,9E,1239703,NY,28,0,,0,27,0,3,0,1
5/17/23,9E,1239703,NY,0,0,,0,,,,,
5/18/23,9E,1239703,NY,0,0,,0,,,,,
5/19/23,9E,1239703,NY,0,0,,0,0,0,26,0,0
5/20/23,9E,1239703,NY,0,0,,0,0,0,20,0,0
5/21/23,9E,1239703,NY,6,0,,0,,,,,
5/22/23,9E,1239703,NY,3,0,,0,,,,,
5/23/23,9E,1239703,NY,0,0,,0,,,,,
5/24/23,9E,1239703,NY,0,0,,0,,,,,
5/25/23,9E,1239703,NY,0,0,,0,,,,,
5/26/23,9E,1239703,NY,0,0,,0,,,,,
5/27/23,9E,1239703,NY,0,0,,0,0,0,31,0,0
5/28/23,9E,1239703,NY,0,0,,0,0,0,38,0,0
5/29/23,9E,1239703,NY,0,0,,0,,,,,
5/30/23,9E,1239703,NY,0,0,,0,,,,,
5/31/23,9E,1239703,NY,22,0,,0,0,0,7,0,22
5/8/23,9E,1247805,NY,0,0,,0,,,,,
5/9/23,9E,1247805,NY,0,0,,0,,,,,
5/10/23,9E,1247805,NY,0,0,,0,,,,,
5/11/23,9E,1247805,NY,0,0,,0,,,,,
5/12/23,9E,1247805,NY,0,0,,0,,,,,
5/13/23,9E,1247805,NY,0,0,,0,,,,,
5/14/23,9E,1247805,NY,0,0,,0,,,,,
5/15/23,9E,1247805,NY,0,0,,0,,,,,
5/16/23,9E,1247805,NY,12,0,,0,,,,,
5/17/23,9E,1247805,NY,0,0,,0,,,,,
5/18/23,9E,1247805,NY,0,0,,0,,,,,
5/19/23,9E,1247805,NY,0,0,,0,,,,,
5/20/23,9E,1247805,NY,0,0,,0,,,,,
5/21/23,9E,1247805,NY,12,0,,0,0,0,7,0,12
5/22/23,9E,1247805,NY,0,0,,0,,,,,
5/23/23,9E,1247805,NY,0,0,,0,,,,,
5/24/23,9E,1247805,NY,0,0,,0,,,,,
5/25/23,9E,1247805,NY,0,0,,0,,,,,
5/26/23,9E,1247805,NY,0,0,,0,,,,,
5/27/23,9E,1247805,NY,0,0,,0,,,,,
5/28/23,9E,1247805,NY,0,0,,0,,,,,
5/29/23,9E,1247805,NY,5,0,,0,,,,,
5/30/23,9E,1247805,NY,0,0,,0,,,,,
5/31/23,9E,1247805,NY,34,0,,0,33,0,0,0,0
5/1/23,9E,1247805,NY,0,0,,0,,,,,
5/2/23,9E,1247805,NY,16,0,,0,,,,,
5/3/23,9E,1247805,NY,0,0,,0,,,,,
5/4/23,9E,1247805,NY,0,0,,0,,,,,
5/5/23,9E,1247805,NY,8,0,,0,,,,,
5/7/23,9E,1247805,NY,52,0,,0,4,0,0,0,48
5/14/23,9E,1295304,NY,0,0,,0,0,0,17,0,0
5/21/23,9E,1295304,NY,0,0,,0,,,,,
5/28/23,9E,1295304,NY,56,0,,0,54,0,0,0,0
5/1/23,9E,1295304,NY,9,0,,0,,,,,
5/2/23,9E,1295304,NY,0,0,,0,,,,,
5/3/23,9E,1295304,NY,0,0,,0,,,,,
5/4/23,9E,1295304,NY,0,0,,0,,,,,
5/5/23,9E,1295304,NY,0,0,,0,,,,,
5/6/23,9E,1295304,NY,0,0,,0,,,,,
5/7/23,9E,1295304,NY,0,0,,0,,,,,
5/1/23,9E,1247805,NY,0,0,,0,,,,,
5/2/23,9E,1247805,NY,0,0,,0,,,,,
5/3/23,9E,1247805,NY,5,0,,0,,,,,
5/4/23,9E,1247805,NY,0,0,,0,,,,,
5/5/23,9E,1247805,NY,0,0,,0,,,,,
5/6/23,9E,1247805,NY,108,0,,0,0,0,0,0,104
5/7/23,9E,1247805,NY,0,0,,0,,,,,
5/8/23,9E,1247805,NY,0,0,,0,,,,,
5/9/23,9E,1247805,NY,9,0,,0,,,,,
5/10/23,9E,1247805,NY,0,0,,0,,,,,
5/11/23,9E,1247805,NY,0,0,,0,,,,,
5/12/23,9E,1247805,NY,0,0,,0,,,,,
5/13/23,9E,1247805,NY,64,0,,0,41,0,0,0,0
5/14/23,9E,1247805,NY,10,0,,0,,,,,
5/15/23,9E,1247805,NY,0,0,,0,,,,,
5/16/23,9E,1247805,NY,76,0,,0,46,0,0,0,0
5/17/23,9E,1247805,NY,0,0,,0,,,,,
5/18/23,9E,1247805,NY,0,0,,0,,,,,
5/19/23,9E,1247805,NY,0,0,,0,,,,,
5/20/23,9E,1247805,NY,3,0,,0,,,,,
5/21/23,9E,1247805,NY,0,0,,0,,,,,
5/22/23,9E,1247805,NY,0,0,,0,,,,,
5/23/23,9E,1247805,NY,1,0,,0,,,,,
5/24/23,9E,1247805,NY,0,0,,0,,,,,
5/25/23,9E,1247805,NY,0,0,,0,,,,,
5/26/23,9E,1247805,NY,0,0,,0,,,,,
5/27/23,9E,1247805,NY,0,0,,0,,,,,
5/28/23,9E,1247805,NY,48,0,,0,24,0,0,0,18
5/29/23,9E,1247805,NY,0,0,,0,,,,,
5/30/23,9E,1247805,NY,0,0,,0,,,,,
5/31/23,9E,1247805,NY,0,0,,0,,,,,
5/8/23,9E,1295304,NY,0,0,,0,,,,,
5/9/23,9E,1295304,NY,0,0,,0,,,,,
5/10/23,9E,1295304,NY,0,0,,0,,,,,
5/11/23,9E,1295304,NY,0,0,,0,,,,,
5/12/23,9E,1295304,NY,18,0,,0,,,,,
5/13/23,9E,1295304,NY,0,0,,0,,,,,
5/14/23,9E,1295304,NY,0,0,,0,,,,,
5/15/23,9E,1295304,NY,6,0,,0,,,,,
5/16/23,9E,1295304,NY,0,0,,0,,,,,
5/17/23,9E,1295304,NY,20,0,,0,20,0,10,0,0
5/18/23,9E,1295304,NY,0,0,,0,,,,,
5/19/23,9E,1295304,NY,0,0,,0,,,,,
5/20/23,9E,1295304,NY,0,0,,0,,,,,
5/21/23,9E,1295304,NY,0,0,,0,,,,,
5/22/23,9E,1295304,NY,0,0,,0,,,,,
5/23/23,9E,1295304,NY,0,0,,0,,,,,
5/24/23,9E,1295304,NY,0,0,,0,,,,,
5/25/23,9E,1295304,NY,0,0,,0,,,,,
5/26/23,9E,1295304,NY,0,0,,0,,,,,
5/27/23,9E,1295304,NY,0,0,,0,,,,,
5/28/23,9E,1295304,NY,0,0,,0,,,,,
5/29/23,9E,1295304,NY,0,0,,0,,,,,
5/30/23,9E,1295304,NY,0,0,,0,,,,,
5/31/23,9E,1295304,NY,0,0,,0,,,,,
5/8/23,9E,1295304,NY,0,0,,0,,,,,
5/9/23,9E,1295304,NY,0,0,,0,,,,,
5/10/23,9E,1295304,NY,0,0,,0,,,,,
5/11/23,9E,1295304,NY,0,0,,0,,,,,
5/12/23,9E,1295304,NY,0,0,,0,,,,,
5/15/23,9E,1295304,NY,0,0,,0,,,,,
5/16/23,9E,1295304,NY,0,0,,0,,,,,
5/17/23,9E,1295304,NY,0,0,,0,,,,,
5/18/23,9E,1295304,NY,0,0,,0,,,,,
5/19/23,9E,1295304,NY,0,0,,0,,,,,
5/22/23,9E,1295304,NY,0,0,,0,,,,,
5/23/23,9E,1295304,NY,0,0,,0,,,,,
5/24/23,9E,1295304,NY,0,0,,0,,,,,
5/13/23,9E,1079206,NY,0,0,,0,,,,,
5/20/23,9E,1079206,NY,0,0,,0,,,,,
5/27/23,9E,1079206,NY,0,0,,0,,,,,
5/8/23,9E,1247805,NY,0,0,,0,,,,,
5/9/23,9E,1247805,NY,20,0,,0,,,,,
5/10/23,9E,1247805,NY,0,0,,0,,,,,
5/11/23,9E,1247805,NY,0,0,,0,,,,,
5/12/23,9E,1247805,NY,0,0,,0,,,,,
5/13/23,9E,1247805,NY,2,0,,0,,,,,
5/14/23,9E,1247805,NY,4,0,,0,,,,,
5/15/23,9E,1247805,NY,0,0,,0,,,,,
5/16/23,9E,1247805,NY,0,0,,0,,,,,
5/17/23,9E,1247805,NY,14,0,,0,,,,,
5/18/23,9E,1247805,NY,0,0,,0,0,0,18,0,0
5/19/23,9E,1247805,NY,0,0,,0,,,,,
5/20/23,9E,1247805,NY,0,0,,0,,,,,
5/21/23,9E,1247805,NY,0,0,,0,,,,,
5/22/23,9E,1247805,NY,3,0,,0,,,,,
5/23/23,9E,1247805,NY,0,0,,0,,,,,
5/24/23,9E,1247805,NY,0,0,,0,,,,,
5/25/23,9E,1247805,NY,0,0,,0,,,,,
5/26/23,9E,1247805,NY,11,0,,0,,,,,
5/27/23,9E,1247805,NY,0,0,,0,,,,,
